packet,direction,observed_count,scenarios_seen,observed,known_to_repo,source_path,opcode,status
CSExpandSlotsPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSExpandSlotsPacket.cs,0x041,DISCOVERY_LEAD
CSExpressEmotionPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSExpressEmotionPacket.cs,0x0AD,DISCOVERY_LEAD
CSFactionDeclareHostilePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSFactionDeclareHostilePacket.cs,0x019,DISCOVERY_LEAD
CSFactionImmigrateToOriginPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSFactionImmigrateToOriginPacket.cs,0x017,DISCOVERY_LEAD
CSFactionImmigrationInvitePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSFactionImmigrationInvitePacket.cs,0x015,DISCOVERY_LEAD
CSFactionImmigrationInviteReplyPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSFactionImmigrationInviteReplyPacket.cs,0x016,DISCOVERY_LEAD
CSFactionKickToOriginPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSFactionKickToOriginPacket.cs,0x018,DISCOVERY_LEAD
CSFamilyChangeOwnerPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSFamilyChangeOwnerPacket.cs,0x01F,DISCOVERY_LEAD
CSFamilyChangeTitlePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSFamilyChangeTitlePacket.cs,0x01E,DISCOVERY_LEAD
CSFamilyInviteMemberPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSFamilyInviteMemberPacket.cs,0x01A,DISCOVERY_LEAD
CSFamilyKickPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSFamilyKickPacket.cs,0x01D,DISCOVERY_LEAD
CSFamilyLeavePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSFamilyLeavePacket.cs,0x01C,DISCOVERY_LEAD
CSFamilyReplyInvitationPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSFamilyReplyInvitationPacket.cs,0x01B,DISCOVERY_LEAD
CSHangPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSHangPacket.cs,0x0CB,DISCOVERY_LEAD
CSICSBuyGoodPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSICSBuyGoodPacket.cs,0x11D,DISCOVERY_LEAD
CSICSGoodsListPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSICSGoodsListPacket.cs,0x11C,DISCOVERY_LEAD
CSICSMenuListPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSICSMenuListPacket.cs,0x11B,DISCOVERY_LEAD
CSICSMoneyRequestPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSICSMoneyRequestPacket.cs,0x11E,DISCOVERY_LEAD
CSIdleStatusPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSIdleStatusPacket.cs,0x132,DISCOVERY_LEAD
CSInstanceLoadedPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSInstanceLoadedPacket.cs,0x0E0,DISCOVERY_LEAD
CSInviteAreaToTeamPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSInviteAreaToTeamPacket.cs,0x07B,DISCOVERY_LEAD
CSInviteToExpeditionPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSInviteToExpeditionPacket.cs,0x00C,DISCOVERY_LEAD
CSInviteToTeamPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSInviteToTeamPacket.cs,0x07A,DISCOVERY_LEAD
CSItemSecurePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSItemSecurePacket.cs,0x04A,DISCOVERY_LEAD
CSItemUnsecurePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSItemUnsecurePacket.cs,0x04B,DISCOVERY_LEAD
CSJoinInstantGamePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSJoinInstantGamePacket.cs,0x0E3,DISCOVERY_LEAD
CSJoinTrialAudiencePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSJoinTrialAudiencePacket.cs,0x077,DISCOVERY_LEAD
CSJoinUserChatChannelPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSJoinUserChatChannelPacket.cs,0x061,DISCOVERY_LEAD
CSJuryEndTestimonyPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSJuryEndTestimonyPacket.cs,0x073,DISCOVERY_LEAD
CSJurySummonedPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSJurySummonedPacket.cs,0x072,DISCOVERY_LEAD
CSJuryVerdictPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSJuryVerdictPacket.cs,0x075,DISCOVERY_LEAD
CSKickFromExpeditionPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSKickFromExpeditionPacket.cs,0x00F,DISCOVERY_LEAD
CSKickTeamMemberPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSKickTeamMemberPacket.cs,0x07E,DISCOVERY_LEAD
CSLearnBuffPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSLearnBuffPacket.cs,0x093,DISCOVERY_LEAD
CSLearnSkillPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSLearnSkillPacket.cs,0x092,DISCOVERY_LEAD
CSLeaveChatChannelPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSLeaveChatChannelPacket.cs,0x062,DISCOVERY_LEAD
CSLeaveExpeditionPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSLeaveExpeditionPacket.cs,0x00E,DISCOVERY_LEAD
CSLeaveInstantGamePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSLeaveInstantGamePacket.cs,0x0E5,DISCOVERY_LEAD
CSLeaveTeamPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSLeaveTeamPacket.cs,0x07D,DISCOVERY_LEAD
CSLeaveTrialAudiencePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSLeaveTrialAudiencePacket.cs,0x078,DISCOVERY_LEAD
CSLeaveWorldPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSLeaveWorldPacket.cs,0x001,DISCOVERY_LEAD
CSListCharacterPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSListCharacterPacket.cs,0x020,DISCOVERY_LEAD
CSListMailContinuePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSListMailContinuePacket.cs,0x09B,DISCOVERY_LEAD
CSListMailPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSListMailPacket.cs,0x09A,DISCOVERY_LEAD
CSListSpecialtyGoodsPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSListSpecialtyGoodsPacket.cs,0x044,DISCOVERY_LEAD
CSLootCloseBagPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSLootCloseBagPacket.cs,0x090,DISCOVERY_LEAD
CSLootDicePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSLootDicePacket.cs,0x091,DISCOVERY_LEAD
CSLootItemPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSLootItemPacket.cs,0x08F,DISCOVERY_LEAD
CSLootOpenBagPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSLootOpenBagPacket.cs,0x08E,DISCOVERY_LEAD
CSMakeTeamOwnerPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSMakeTeamOwnerPacket.cs,0x07F,DISCOVERY_LEAD
CSMoveTeamMemberPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSMoveTeamMemberPacket.cs,0x081,DISCOVERY_LEAD
CSNaviOpenBountyPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSNaviOpenBountyPacket.cs,0x0EA,DISCOVERY_LEAD
CSNaviOpenPortalPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSNaviOpenPortalPacket.cs,0x0E8,DISCOVERY_LEAD
CSNaviTeleportPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSNaviTeleportPacket.cs,0x0E7,DISCOVERY_LEAD
CSNotifyInGameCompletedPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSNotifyInGameCompletedPacket.cs,0x02A,DISCOVERY_LEAD
CSNotifyInGamePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSNotifyInGamePacket.cs,0x029,DISCOVERY_LEAD
CSPayChargeMoneyPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSPayChargeMoneyPacket.cs,0x0A0,DISCOVERY_LEAD
CSPremiumServiceBuyPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSPremiumServiceBuyPacket.cs,0x135,DISCOVERY_LEAD
CSPremiumServiceListPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSPremiumServiceListPacket.cs,0x136,DISCOVERY_LEAD
CSPremiumServiceMsgPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSPremiumServiceMsgPacket.cs,0x13C,DISCOVERY_LEAD
CSPutupTradeItemPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSPutupTradeItemPacket.cs,0x0F0,DISCOVERY_LEAD
CSPutupTradeMoneyPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSPutupTradeMoneyPacket.cs,0x0F1,DISCOVERY_LEAD
CSQuestStartWithPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSQuestStartWithPacket.cs,0x0DB,DISCOVERY_LEAD
CSQuestTalkMadePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSQuestTalkMadePacket.cs,0x0DA,DISCOVERY_LEAD
CSRankCharacterPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSRankCharacterPacket.cs,0x12F,DISCOVERY_LEAD
CSReadMailPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSReadMailPacket.cs,0x09C,DISCOVERY_LEAD
CSRefreshInCharacterListPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSRefreshInCharacterListPacket.cs,0x021,DISCOVERY_LEAD
CSRemoveBuffPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSRemoveBuffPacket.cs,0x055,DISCOVERY_LEAD
CSRenameExpeditionPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSRenameExpeditionPacket.cs,0x009,DISCOVERY_LEAD
CSRepairAllEquipmentsPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSRepairAllEquipmentsPacket.cs,0x03D,DISCOVERY_LEAD
CSRepairPetItemsPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSRepairPetItemsPacket.cs,0x0B5,DISCOVERY_LEAD
CSRepairSingleEquipmentPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSRepairSingleEquipmentPacket.cs,0x03C,DISCOVERY_LEAD
CSRepairSlaveItemsPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSRepairSlaveItemsPacket.cs,0x035,DISCOVERY_LEAD
CSReplyExpeditionInvitationPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSReplyExpeditionInvitationPacket.cs,0x00D,DISCOVERY_LEAD
CSReplyImprisonOrTrialPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSReplyImprisonOrTrialPacket.cs,0x06F,DISCOVERY_LEAD
CSReplyInviteJuryPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSReplyInviteJuryPacket.cs,0x071,DISCOVERY_LEAD
CSReplyToJoinTeamPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSReplyToJoinTeamPacket.cs,0x07C,DISCOVERY_LEAD
CSReportCrimePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSReportCrimePacket.cs,0x076,DISCOVERY_LEAD
CSReportSpamPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSReportSpamPacket.cs,0x0A3,DISCOVERY_LEAD
CSRequestCharBriefPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSRequestCharBriefPacket.cs,0x02D,DISCOVERY_LEAD
CSRequestHouseTaxPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSRequestHouseTaxPacket.cs,0x05C,DISCOVERY_LEAD
CSRequestJuryWaitingNumberPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSRequestJuryWaitingNumberPacket.cs,0x079,DISCOVERY_LEAD
CSRequestMusicNotesPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSRequestMusicNotesPacket.cs,0x123,DISCOVERY_LEAD
CSRequestSecondPasswordKeyTablesPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSRequestSecondPasswordKeyTablesPacket.cs,0x125,DISCOVERY_LEAD
CSRequestSpecialtyCurrentPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSRequestSpecialtyCurrentPacket.cs,0x131,DISCOVERY_LEAD
CSRequestUIDataPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSRequestUIDataPacket.cs,0x117,DISCOVERY_LEAD
CSResetQuestContextPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSResetQuestContextPacket.cs,0xFFF,DISCOVERY_LEAD
CSResetSkillsPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSResetSkillsPacket.cs,0x094,DISCOVERY_LEAD
CSRestartMainQuestPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSRestartMainQuestPacket.cs,0x0FD,DISCOVERY_LEAD
CSRestrictCheckPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSRestrictCheckPacket.cs,0x11A,DISCOVERY_LEAD
CSResturnAddrsPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSResturnAddrsPacket.cs,0x115,DISCOVERY_LEAD
CSResurrectCharacterPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSResurrectCharacterPacket.cs,0x04E,DISCOVERY_LEAD
CSReturnMailPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSReturnMailPacket.cs,0x0A2,DISCOVERY_LEAD
CSRollDicePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSRollDicePacket.cs,0x0BD,DISCOVERY_LEAD
CSSaveDoodadUccStringPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSSaveDoodadUccStringPacket.cs,0xFFF,DISCOVERY_LEAD
CSSaveUIDataPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSSaveUIDataPacket.cs,0x118,DISCOVERY_LEAD
CSSaveUserMusicNotesPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSSaveUserMusicNotes.cs,0x122,DISCOVERY_LEAD
CSSearchListPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSSearchListPacket.cs,0xFFF,DISCOVERY_LEAD
CSSelectCharacterPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSSelectCharacterPacket.cs,0x025,DISCOVERY_LEAD
CSSelectInteractionExPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSSelectInteractionExPacket.cs,0x06B,DISCOVERY_LEAD
CSSellBackpackGoodsPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSSellBackpackGoodsPacket.cs,0x042,DISCOVERY_LEAD
CSSellHouseCancelPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSSellHouseCancelPacket.cs,0x05F,DISCOVERY_LEAD
CSSellHousePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSSellHousePacket.cs,0x05E,DISCOVERY_LEAD
CSSendMailPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSSendMailPacket.cs,0x098,DISCOVERY_LEAD
CSSendUserMusicPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSSendUserMusicPacket.cs,0x121,DISCOVERY_LEAD
CSSetCraftingPayPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSSetCraftingPayPacket.cs,0xFFF,DISCOVERY_LEAD
CSSetForceAttackPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSSetForceAttackPacket.cs,0x04F,DISCOVERY_LEAD
CSSetLogicDoodadPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSSetLogicDoodadPacket.cs,0x0F6,DISCOVERY_LEAD
CSSetLpManageCharacterPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSSetLpManageCharacterPacket.cs,0x0FE,DISCOVERY_LEAD
CSSetOverHeadMarkerPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSSetOverHeadMarkerPacket.cs,0x086,DISCOVERY_LEAD
CSSetPingPosPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSSetPingPosPacket.cs,0x087,DISCOVERY_LEAD
CSSetTeamMemberRolePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSSetTeamMemberRolePacket.cs,0x085,DISCOVERY_LEAD
CSSetTeamOfficerPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSSetTeamOfficerPacket.cs,0xFFF,DISCOVERY_LEAD
CSSkillControllerStatePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSSkillControllerStatePacket.cs,0x08A,DISCOVERY_LEAD
CSSkipFinalStatementPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSSkipFinalStatementPacket.cs,0x070,DISCOVERY_LEAD
CSSpawnCharacterPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSSpawnCharacterPacket.cs,0x026,DISCOVERY_LEAD
CSSpawnSlavePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSSpawnSlavePacket.cs,0x02E,DISCOVERY_LEAD
CSSpecialtyRatioPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSSpecialtyRatioPacket.cs,0x043,DISCOVERY_LEAD
CSSpecialtyRecordLoadPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSSpecialtyRecordLoadPacket.cs,0xFFF,DISCOVERY_LEAD
CSSplitBagItemPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSSplitBagItemPacket.cs,0x039,DISCOVERY_LEAD
CSSplitCofferItemPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSSplitCofferItemPacket.cs,0x03F,DISCOVERY_LEAD
CSStartDuelPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSStartDuelPacket.cs,0x051,DISCOVERY_LEAD
CSStartTradePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSStartTradePacket.cs,0x0EC,DISCOVERY_LEAD
CSStartedCinemaPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSStartedCinemaPacket.cs,0x0CF,DISCOVERY_LEAD
CSStopCastingPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSStopCastingPacket.cs,0x054,DISCOVERY_LEAD
CSSwapAbilityPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSSwapAbilityPacket.cs,0x096,DISCOVERY_LEAD
CSSwapCofferItemsPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSSwapCofferItemsPacket.cs,0x040,DISCOVERY_LEAD
CSSwapItemsPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSSwapItemsPacket.cs,0x03A,DISCOVERY_LEAD
CSTakeAllAttachmentItemPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSTakeAllAttachmentItemPacket.cs,0x139,DISCOVERY_LEAD
CSTakeAttachmentItemPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSTakeAttachmentItemPacket.cs,0x09D,DISCOVERY_LEAD
CSTakeAttachmentMoneyPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSTakeAttachmentMoneyPacket.cs,0x09E,DISCOVERY_LEAD
CSTakedownTradeItemPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSTakedownTradeItemPacket.cs,0x0F2,DISCOVERY_LEAD
CSTeleportEndedPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSTeleportEndedPacket.cs,0x0B4,DISCOVERY_LEAD
CSThisTimeUnpackItemPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSThisTimeUnpackItemPacket.cs,0x134,DISCOVERY_LEAD
CSTradeLockPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSTradeLockPacket.cs,0x0F3,DISCOVERY_LEAD
CSTradeOkPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSTradeOkPacket.cs,0x0F4,DISCOVERY_LEAD
CSTryQuestCompleteAsLetItDonePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSTryQuestCompleteAsLetItDonePacket.cs,0x0DD,DISCOVERY_LEAD
CSTurretStatePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSTurretStatePacket.cs,0x036,DISCOVERY_LEAD
CSUnbondDoodadPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSUnbondDoodadPacket.cs,0x0CD,DISCOVERY_LEAD
CSUnhangPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSUnhangPacket.cs,0x0CC,DISCOVERY_LEAD
CSUnknownInstancePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSUnknownInstancePacket.cs,0x13E,DISCOVERY_LEAD
CSUpdateDominionTaxRatePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSUpdateDominionTaxRatePacket.cs,0x012,DISCOVERY_LEAD
CSUpdateNationalTaxRatePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSUpdateNationalTaxRatePacket.cs,0xFFF,DISCOVERY_LEAD
CSUpgradeExpertLimitPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSUpgradeExpertLimitPacket.cs,0x0FF,DISCOVERY_LEAD
CSUsePortalPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSUsePortalPacket.cs,0x0DE,DISCOVERY_LEAD
CSUseTeleportPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSUseTeleportPacket.cs,0x0B3,DISCOVERY_LEAD
CSWithdrawMoneyPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/CSWithdrawMoneyPacket.cs,0x048,DISCOVERY_LEAD
CTCancelCellPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2S/CTCancelCellPacket.cs,0x004,DISCOVERY_LEAD
CTContinuePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2S/CTContinuePacket.cs,0x005,DISCOVERY_LEAD
CTEmblemPartDownloadedPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2S/CTEmblemPartDownloadedPacket.cs,0x011,DISCOVERY_LEAD
CTEmblemStreamDownloadStatusPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2S/CTEmblemStreamDownloadStatusPacket.cs,0x00F,DISCOVERY_LEAD
CTEmblemStreamUploadStatusPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2S/CTEmblemStreamUploadStatusPacket.cs,0x00D,DISCOVERY_LEAD
CTItemUccPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2S/CTItemUccPacket.cs,0x010,DISCOVERY_LEAD
CTJoinPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2S/CTJoinPacket.cs,0x001,DISCOVERY_LEAD
CTQueryCharNamePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2S/CTQueryCharNamePacket.cs,0x00A,DISCOVERY_LEAD
CTRequestCellPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2S/CTRequestCellPacket.cs,0x002,DISCOVERY_LEAD
CTRequestEmblemPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2S/CTRequestEmblemPacket.cs,0x003,DISCOVERY_LEAD
CTStartUploadEmblemStreamPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2S/CTStartUploadEmblemStreamPacket.cs,0x00E,DISCOVERY_LEAD
CTUccCharacterNamePacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2S/CTUccCharacterNamePacket.cs,0x009,DISCOVERY_LEAD
CTUccComplexCheckValidPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2S/CTUccComplexCheckValidPacket.cs,0x012,DISCOVERY_LEAD
CTUccComplexPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2S/CTUccComplexPacket.cs,0x006,DISCOVERY_LEAD
CTUccPositionPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2S/CTUccPositionPacket.cs,0x008,DISCOVERY_LEAD
CTUccStringPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2S/CTUccStringPacket.cs,0x007,DISCOVERY_LEAD
CTUploadEmblemStreamPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2S/CTUploadEmblemStreamPacket.cs,0x00C,DISCOVERY_LEAD
X2EnterWorldPacket,C2S,0,0,False,True,AAEmu.Game/Core/Packets/C2G/X2EnterWorldPacket.cs,0x000,DISCOVERY_LEAD
GLGameServerLoadPacket,INTERNAL,0,0,False,True,AAEmu.Login/Core/Packets/G2L/GLGameServerLoadPacket.cs,0x004,DISCOVERY_LEAD
GLPlayerEnterPacket,INTERNAL,0,0,False,True,AAEmu.Login/Core/Packets/G2L/GLPlayerEnterPacket.cs,0x001,DISCOVERY_LEAD
GLPlayerReconnectPacket,INTERNAL,0,0,False,True,AAEmu.Login/Core/Packets/G2L/GLPlayerReconnectPacket.cs,0x002,DISCOVERY_LEAD
GLRegisterGameServerPacket,INTERNAL,0,0,False,True,AAEmu.Login/Core/Packets/G2L/GLRegisterGameServerPacket.cs,0x000,DISCOVERY_LEAD
GLRequestInfoPacket,INTERNAL,0,0,False,True,AAEmu.Login/Core/Packets/G2L/GLRequestInfoPacket.cs,0x003,DISCOVERY_LEAD
LGPlayerEnterPacket,INTERNAL,0,0,False,True,AAEmu.Login/Core/Packets/L2G/LGPlayerEnterPacket.cs,0x001,DISCOVERY_LEAD
LGPlayerReconnectPacket,INTERNAL,0,0,False,True,AAEmu.Login/Core/Packets/L2G/LGPlayerReconnectPacket.cs,0x002,DISCOVERY_LEAD
